Accts. Receivables 2021,SUM of  price,SUM of GST,SUM of PST,SUM of final price,SUM of taxes,% of taxes
,CA$113.52,CA$5.68,CA$6.81,CA$126.00,,
2021-01-05,CA$29.87,CA$1.49,CA$1.79,CA$33.15,CA$3.29,0.0990990991
2021-01-06,CA$18.02,CA$0.90,CA$1.08,CA$20.00,CA$1.98,0.0990990991
2021-01-08,CA$48.65,CA$2.43,CA$2.92,CA$54.00,CA$5.35,0.0990990991
2021-01-10,CA$25.23,CA$1.26,CA$1.51,CA$28.00,CA$2.77,0.0990990991
2021-01-11,CA$49.69,CA$2.48,CA$2.98,CA$55.15,CA$5.47,0.0990990991
2021-01-13,CA$77.00,CA$3.85,CA$4.62,CA$85.47,CA$8.47,0.0990990991
2021-01-14,CA$63.96,CA$3.20,CA$3.84,CA$71.00,CA$7.04,0.0990990991
2021-01-15,CA$77.00,CA$3.85,CA$4.62,CA$85.47,CA$8.47,0.0990990991
2021-01-18,CA$73.45,CA$3.67,CA$4.41,CA$81.52,CA$8.08,0.0990990991
2021-01-19,CA$17.18,CA$0.86,CA$1.03,CA$19.07,CA$1.89,0.0990990991
2021-01-20,CA$71.99,CA$3.60,CA$4.32,CA$79.90,CA$7.92,0.0990990991
2021-01-25,CA$15.91,CA$0.80,CA$0.95,CA$17.66,CA$1.75,0.0990990991
2021-01-26,CA$30.49,CA$1.52,CA$1.83,CA$33.84,CA$3.35,0.0990990991
2021-01-27,CA$10.81,CA$0.54,CA$0.65,CA$12.00,CA$1.19,0.0990990991
2021-02-01,CA$77.23,CA$3.86,CA$4.63,CA$85.72,CA$8.49,0.0990990991
2021-02-04,CA$9.01,CA$0.45,CA$0.54,CA$10.00,CA$0.99,0.0990990991
2021-02-05,CA$10.81,CA$0.54,CA$0.65,CA$12.00,CA$1.19,0.0990990991
2021-02-10,CA$26.28,CA$1.31,CA$1.58,CA$29.17,CA$2.89,0.0990990991
2021-02-16,CA$44.10,CA$2.21,CA$2.65,CA$48.95,CA$4.85,0.0990990991
2021-02-17,CA$89.02,CA$4.45,CA$5.34,CA$98.81,CA$9.79,0.0990990991
2021-02-22,CA$35.42,CA$1.77,CA$2.13,CA$39.32,CA$3.90,0.0990990991
2021-02-26,CA$35.41,CA$1.77,CA$2.12,CA$39.30,CA$3.89,0.0990990991
2021-02-27,CA$54.60,CA$2.73,CA$3.28,CA$60.60,CA$6.01,0.0990990991
2021-02-28,CA$48.03,CA$2.40,CA$2.88,CA$53.31,CA$5.28,0.0990990991
2021-03-02,CA$11.61,CA$0.58,CA$0.70,CA$12.89,CA$1.28,0.0990990991
2021-03-03,CA$105.40,CA$5.27,CA$6.32,CA$116.99,CA$11.59,0.0990990991
2021-03-05,CA$9.01,CA$0.45,CA$0.54,CA$10.00,CA$0.99,0.0990990991
2021-03-06,CA$45.05,CA$2.25,CA$2.70,CA$50.00,CA$4.95,0.0990990991
2021-03-07,CA$39.64,CA$1.98,CA$2.38,CA$44.00,CA$4.36,0.0990990991
2021-03-08,CA$125.59,CA$6.28,CA$7.54,CA$139.40,CA$13.81,0.0990990991
2021-03-10,CA$17.53,CA$0.88,CA$1.05,CA$19.46,CA$1.93,0.0990990991
2021-03-12,CA$18.02,CA$0.90,CA$1.08,CA$20.00,CA$1.98,0.0990990991
2021-03-13,CA$10.81,CA$0.54,CA$0.65,CA$12.00,CA$1.19,0.0990990991
2021-03-16,CA$58.12,CA$2.91,CA$3.49,CA$64.51,CA$6.39,0.0990990991
2021-03-18,CA$18.92,CA$0.95,CA$1.14,CA$21.00,CA$2.08,0.0990990991
2021-03-22,CA$13.40,CA$0.67,CA$0.80,CA$14.87,CA$1.47,0.0990990991
2021-03-23,CA$14.34,CA$0.72,CA$0.86,CA$15.92,CA$1.58,0.0990990991
2021-03-25,CA$141.94,CA$7.10,CA$8.52,CA$157.55,CA$15.61,0.0990990991
2021-03-26,CA$158.61,CA$7.93,CA$9.52,CA$176.06,CA$17.45,0.0990990991
2021-03-27,CA$151.21,CA$7.56,CA$9.07,CA$167.84,CA$16.63,0.0990990991
2021-03-30,CA$50.50,CA$2.52,CA$3.03,CA$56.05,CA$5.55,0.0990990991
2021-03-31,CA$18.84,CA$0.94,CA$1.13,CA$20.91,CA$2.07,0.0990990991
2021-04-01,CA$181.78,CA$9.09,CA$10.91,CA$201.77,CA$20.00,0.0990990991
2021-04-03,CA$52.25,CA$2.61,CA$3.14,CA$58.00,CA$5.75,0.0990990991
2021-04-04,CA$21.62,CA$1.08,CA$1.30,CA$24.00,CA$2.38,0.0990990991
2021-04-10,CA$25.23,CA$1.26,CA$1.51,CA$28.00,CA$2.77,0.0990990991
2021-04-11,CA$25.23,CA$1.26,CA$1.51,CA$28.00,CA$2.77,0.0990990991
2021-04-12,CA$54.05,CA$2.70,CA$3.24,CA$60.00,CA$5.95,0.0990990991
2021-04-14,CA$68.47,CA$3.42,CA$4.11,CA$76.00,CA$7.53,0.0990990991
2021-04-17,CA$95.50,CA$4.77,CA$5.73,CA$106.00,CA$10.50,0.0990990991
2021-04-19,CA$3.50,CA$0.17,CA$0.21,CA$3.88,CA$0.38,0.0990990991
2021-04-20,CA$10.81,CA$0.54,CA$0.65,CA$12.00,CA$1.19,0.0990990991
2021-04-21,CA$21.14,CA$1.06,CA$1.27,CA$23.46,CA$2.32,0.0990990991
2021-04-25,CA$25.23,CA$1.26,CA$1.51,CA$28.00,CA$2.77,0.0990990991
2021-04-26,CA$45.05,CA$2.25,CA$2.70,CA$50.00,CA$4.95,0.0990990991
2021-04-28,CA$55.87,CA$2.79,CA$3.35,CA$62.02,CA$6.15,0.0990990991
2021-05-02,CA$99.10,CA$4.96,CA$5.95,CA$110.00,CA$10.90,0.0990990991
2021-05-03,CA$28.01,CA$1.40,CA$1.68,CA$31.09,CA$3.08,0.0990990991
2021-05-04,CA$130.03,CA$6.50,CA$7.80,CA$144.33,CA$14.30,0.0990990991
2021-05-05,CA$23.05,CA$1.15,CA$1.38,CA$25.59,CA$2.54,0.0990990991
2021-05-09,CA$22.52,CA$1.13,CA$1.35,CA$25.00,CA$2.48,0.0990990991
2021-05-10,CA$99.94,CA$5.00,CA$6.00,CA$110.93,CA$10.99,0.0990990991
2021-05-12,CA$90.09,CA$4.50,CA$5.41,CA$100.00,CA$9.91,0.0990990991
2021-05-14,CA$19.82,CA$0.99,CA$1.19,CA$22.00,CA$2.18,0.0990990991
2021-05-17,CA$100.91,CA$5.05,CA$6.05,CA$112.00,CA$11.10,0.0990990991
2021-05-21,CA$28.83,CA$1.44,CA$1.73,CA$32.00,CA$3.17,0.0990990991
2021-05-22,CA$31.53,CA$1.58,CA$1.89,CA$35.00,CA$3.47,0.0990990991
2021-05-25,CA$140.07,CA$7.00,CA$8.40,CA$155.48,CA$15.41,0.0990990991
2021-05-29,CA$46.85,CA$2.34,CA$2.81,CA$52.00,CA$5.15,0.0990990991
2021-05-31,CA$154.48,CA$7.72,CA$9.27,CA$171.47,CA$16.99,0.0990990991
2021-06-03,CA$72.07,CA$3.60,CA$4.32,CA$80.00,CA$7.93,0.0990990991
2021-06-04,CA$65.31,CA$3.27,CA$3.92,CA$72.49,CA$7.18,0.0990990991
2021-06-07,CA$147.94,CA$7.40,CA$8.88,CA$164.21,CA$16.27,0.0990990991
2021-06-08,CA$25.23,CA$1.26,CA$1.51,CA$28.00,CA$2.77,0.0990990991
2021-06-11,CA$67.56,CA$3.38,CA$4.05,CA$74.99,CA$7.43,0.0990990991
2021-06-14,CA$16.30,CA$0.81,CA$0.98,CA$18.09,CA$1.79,0.0990990991
2021-06-15,CA$12.69,CA$0.63,CA$0.76,CA$14.09,CA$1.40,0.0990990991
2021-06-16,CA$140.29,CA$7.01,CA$8.42,CA$155.72,CA$15.43,0.0990990991
2021-06-18,CA$14.41,CA$0.72,CA$0.86,CA$16.00,CA$1.59,0.0990990991
2021-06-19,CA$258.01,CA$12.90,CA$15.48,CA$286.39,CA$28.38,0.0990990991
2021-06-20,CA$13.51,CA$0.68,CA$0.81,CA$15.00,CA$1.49,0.0990990991
2021-06-21,CA$36.06,CA$1.80,CA$2.16,CA$40.03,CA$3.97,0.0990990991
2021-06-22,CA$21.84,CA$1.09,CA$1.31,CA$24.24,CA$2.40,0.0990990991
2021-06-23,CA$35.05,CA$1.75,CA$2.10,CA$38.90,CA$3.85,0.0990990991
2021-06-25,CA$34.88,CA$1.74,CA$2.09,CA$38.72,CA$3.84,0.0990990991
