Months	Sales Revenue	Net Sales	Cost	Net Profit 2021	Contribution Margin 2021	Quarter Profit 2021	% Quarter Profit 2021	Revenue Growth 2021	Sales revenue 2020		Best sellers	Price	SUM of 	
2021-01-31	CA$903.61	CA$814.06	CA$662.43	CA$241.18	26.7%	Q1 2021	Q1 2021	Q1 2021			cake Total		CA$6,452.81	
2021-02-28	CA$706.46	CA$636.45	CA$322.75	CA$383.71	54.3%						coxinha Total		CA$654.71	
2021-03-31	CA$1,220.27	CA$1,099.34	CA$730.82	CA$489.45	40.1%	CA$1,114.34	17.05%	-23.7597894			Pão de Queijo Total		CA$455.56	
2021-04-30	CA$761.12	CA$685.69	CA$523.67	CA$237.44	31.2%	Q2 2021	Q2 2021	Q2 2021			Cake Love in pieces 20 Total		CA$170.94	
2021-05-31	CA$1,298.37	CA$1,169.71	CA$759.54	CA$538.83	41.5%						Bites of Joy Total		CA$161.01	
2021-06-30	CA$1,112.38	CA$1,002.15	CA$717.04	CA$395.34	35.5%	CA$1,171.61	17.93%	-15.76910793			Brigadeiro box 6 Total		CA$89.99	
2021-07-31	CA$1,601.57	CA$1,442.86	CA$825.69	CA$775.88	48.4%	Q3 2021	Q3 2021	Q3 2021			Love in Pieces Total		CA$85.47	
2021-08-31	CA$1,001.94	CA$902.65	CA$350.34	CA$651.60	65.0%						Cake Kinder 20 Total		CA$79.90	
2021-09-30	CA$1,138.03	CA$1,025.25	CA$318.64	CA$819.38	72.0%	CA$2,246.87	34.38%	110.4245359			Cake Double chocolate 20 Total		CA$79.90	
2021-10-31	CA$1,482.65	CA$1,335.72	CA$501.69	CA$980.96	66.2%	Q4 2021	Q4 2021	Q4 2021	Q4 2020		Cake chocolate 20 Total		CA$79.90	
2021-11-30	CA$718.08	CA$646.92	CA$517.13	CA$200.95	28.0%						Cake Prestige 20 Total		CA$71.00	
2021-12-31	CA$1,308.45	CA$1,178.78	CA$488.03	CA$820.42	62.7%	CA$2,002.32	30.64%	-7.42552985	CA$1,185.21		Coxinha 50 Total		CA$56.00	
Grand Total	CA$13,252.92	CA$11,939.57	CA$6,717.78	CA$6,535.14	49.3%						Coxinha 20 Total		CA$34.00	
											Pudim Total		CA$27.00	
											Pudim G Total		CA$20.00	Revenue Growth: ((Current Revenue - Previous Revenue) / Previous Revenue) * 100
											Cold cake tropical 1kg Total		CA$20.00	Profit Margins: (Net Profit / Revenue) * 100
											Cold cake tropical kg Total		CA$18.00	Average Transaction Value: Total Revenue / Number of Transactions
											Cold cake coconut 1 count Total		CA$10.00	Sales Conversion Rates: (Number of Sales / Number of Leads) * 100
											Pão de Queijo 20 Total		CA$10.00	
											Cup of happiness Total		CA$10.00	
											Grand Total		CA$8,586.20	
